fit,intercept_a,slope_b,theta,R2
base (≤10M),-1.0999640963041046,-0.29188569192694974,0.29188569192694974,0.6737326995603762
extended (≤20M incl. v13.5),-1.0525571127298468,-0.31191151262300887,0.31191151262300887,0.7364543366572978
