N,alpha,beta,E_off,Sum_a2,Ratio
500,0.6,0.2,6.428890440283237,0.04329166570361182,148.50180365656098
500,0.6,0.25,10.515685614486816,0.08103884140133202,129.76105571906623
500,0.6,0.3,15.635063242834411,0.1380768110587582,113.23453317719624
500,0.6,0.35,21.787023325326484,0.21440557467589033,101.6159367976378
500,0.6,0.4,28.971565861961942,0.31002513225272804,93.44908798666276
500,0.6,0.44999999999999996,37.18869085274338,0.4249354837892721,87.51608719780498
500,0.6,0.5,46.438398297668186,0.5591366292855222,83.05375800009428
500,0.65,0.2,2.1226884600135545,0.028501980585633028,74.47512125117146
500,0.65,0.25,4.3150375199859745,0.030009383257096844,143.78961017019643
500,0.65,0.3,7.545017252832551,0.050807579888266646,148.50180365656377
500,0.65,0.35,11.92935442263034,0.09089657047914243,131.24097377653766
500,0.65,0.4,17.34627404657259,0.15027635502972392,115.42916410995983
500,0.65,0.44999999999999996,23.795776124658765,0.2289469335400116,103.93577130178129
500,0.65,0.5,31.277860656889075,0.3269083060100053,95.67777900366896
500,0.7,0.2,0.5957523695847854,0.08210948486862803,7.255585277851468
500,0.7,0.25,1.238184341251702,0.047377114513835535,26.134650747675128
500,0.7,0.3,2.7557120104915773,0.031935538118749045,86.2898254679393
500,0.7,0.35,5.230161953419678,0.03578475568336852,146.1561453624922
500,0.7,0.4,8.750434210385535,0.05892476720769385,148.50180365656132
500,0.7,0.44999999999999996,13.43231337577792,0.10135557269172524,132.52663883250443
500,0.7,0.5,19.146774995313837,0.16307717213546263,117.40928999804623
500,0.75,0.2,1.8528458840546995,0.204114178552597,9.077497198839866
500,0.75,0.25,0.7055972532817774,0.13314203517154813,5.299582903120294
500,0.75,0.3,0.7848283923197201,0.08146068575020528,9.634443720819554
500,0.75,0.35,1.686911525267218,0.04907013028856839,34.37756360838946
500,0.75,0.4,3.47859546947536,0.035970368786637466,96.70725062923496
500,0.75,0.44999999999999996,6.236684304391138,0.04216140124441247,147.9240281468982
500,0.75,0.5,10.045141312942864,0.06764322766189346,148.50180365656553
500,0.8,0.2,6.38640165705305,0.39451606163753994,16.187938282017353
500,0.8,0.25,3.402705180479402,0.2873041452302347,11.843564518543939
500,0.8,0.3,1.4515911580500582,0.19938302278263537,7.28041504131755
500,0.8,0.35,0.7316738388587011,0.13075269429474218,5.5958605121311304
500,0.8,0.4,1.05857411074361,0.08141315976655501,13.002493869283258
500,0.8,0.44999999999999996,2.2207003166824295,0.05136441919807365,43.234214488416015
500,0.8,0.5,4.29301398033613,0.040606472589298254,105.7224059759267
500,0.8500000000000001,0.2,13.949409409255603,0.6533151341234568,21.351731623317313
500,0.8500000000000001,0.25,9.198090019987312,0.5098634446898951,18.04030101742575
500,0.8500000000000001,0.3,5.479353084863841,0.3857025492160396,14.206162484538694
500,0.8500000000000001,0.35,2.7931986038844108,0.28083244770188986,9.946139154295503
500,0.8500000000000001,0.4,1.139626577049333,0.19525314014744655,5.836661967068685
500,0.8500000000000001,0.44999999999999996,0.8448166602603379,0.12896462655270874,6.5507626613802925
500,0.8500000000000001,0.5,1.4193549247772026,0.08196690691767694,17.316194768734224
500,0.9,0.2,24.541869140660843,0.9805113960103466,25.02966231756257
500,0.9,0.25,18.022926838698965,0.8008199335505288,22.505592185739197
500,0.9,0.3,12.536566990881417,0.6404192650504168,19.57556194049609
500,0.9,0.35,8.082789597207752,0.499309390510011,16.18793828201734
500,0.9,0.4,4.661594657678343,0.37749030992931143,12.348912104661096
500,0.9,0.44999999999999996,2.2729821722933496,0.2749620233083174,8.266531301104932
500,0.9,0.5,1.016060044725767,0.19172453064702932,5.299582903120334
