N,"RMS_error_on_[-100,100]"
10,4.953418882547373
20,4.919869705419086
30,4.890518702808145
40,4.834445212548787
60,4.7104338616965284
80,4.623210153634546
100,4.5784210659621065
120,4.558308202089374
